real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	41591400	41616400	0.762293	0.460318	0.718379
Trbv1	125	41643200	41668200	1	1	1
Trbv1	125	40991400	41016400	0.762293	0.539682	0.776797
Trbv1	125	40996800	41021800	0.415919	0.291256	0.376841
Trbv1	125	40913600	40938600	0.168509	0.440603	0.267312
Trbv1	125	41275400	41300400	0.415919	0.291256	0.376841
Trbv1	125	41061200	41086200	0.762293	0.539682	0.776797
Trbv1	125	41516000	41541000	1	1	1
Trbv1	125	41192400	41217400	0.762293	0.460318	0.718379
Trbv1	125	41497200	41522200	0.415919	0.211893	0.302194
Trbv1	125	41632800	41657800	1	1	1
Trbv1	125	41067400	41092400	0.762293	0.539682	0.776797
Trbv1	125	40967200	40992200	1	1	1
Trbv1	125	41623600	41648600	1	1	1
Trbv1	125	41345400	41370400	0.0530513	0.255457	0.0718436
Trbv1	125	41044400	41069400	1	1	1
Trbv1	125	41334000	41359000	0.0530513	0.374252	0.0976709
Trbv1	125	41240600	41265600	0.168509	0.559397	0.316882
Trbv1	125	41013800	41038800	0.168509	0.157186	0.122665
Trbv1	125	41657400	41682400	0.762293	0.539682	0.776797
Trbv1	125	41609000	41634000	1	1	1
Trbv1	125	40948000	40973000	0.415919	0.788107	0.6934
Trbv1	125	40934000	40959000	0.0134657	0.574091	0.045321
Trbv1	125	41256400	41281400	0.762293	0.539682	0.776797
Trbv1	125	40829200	40854200	0.762293	0.539682	0.776797
Trbv1	125	41051400	41076400	1	1	1
Trbv1	125	41170600	41195600	1	1	1
Trbv1	125	41638200	41663200	1	1	1
Trbv1	125	41658200	41683200	0.762293	0.539682	0.776797
Trbv1	125	41570200	41595200	0.168509	0.559397	0.316882
Trbv1	125	40869400	40894400	1	1	1
Trbv1	125	41445000	41470000	0.0134657	0.425909	0.0353352
Trbv1	125	41529800	41554800	1	1	1
Trbv1	125	41569400	41594400	0.168509	0.559397	0.316882
Trbv1	125	40985400	41010400	0.762293	0.539682	0.776797
Trbv1	125	41571600	41596600	0.168509	0.559397	0.316882
Trbv1	125	40891400	40916400	0.762293	0.460318	0.718379
Trbv1	125	41244000	41269000	0.415919	0.291256	0.376841
Trbv1	125	41066400	41091400	0.762293	0.539682	0.776797
Trbv1	125	40809200	40834200	0.762293	0.539682	0.776797
Trbv1	125	41465400	41490400	0.415919	0.788107	0.6934
Trbv1	125	41083600	41108600	0.762293	0.539682	0.776797
Trbv1	125	41368800	41393800	1	1	1
Trbv1	125	41148800	41173800	0.762293	0.460318	0.718379
Trbv1	125	41116800	41141800	1	1	1
Trbv1	125	41565400	41590400	0.168509	0.157186	0.122665
Trbv1	125	40872600	40897600	1	1	1
Trbv1	125	41434400	41459400	0.168509	0.440603	0.267312
Trbv1	125	41443400	41468400	0.168509	0.440603	0.267312
Trbv1	125	41122400	41147400	1	1	1
Trbv1	125	41019600	41044600	0.168509	0.157186	0.122665
Trbv1	125	40794600	40819600	0.762293	0.539682	0.776797
Trbv1	125	41609600	41634600	1	1	1
Trbv1	125	41619200	41644200	1	1	1
Trbv1	125	41000800	41025800	0.415919	0.291256	0.376841
