readout	region	pairing	metric	value	p
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	H3K27ac	0.344831	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	ATAC	0.0594883	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	RNA+	0.280356	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	RNA-	0.100874	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	CTCF	0.184658	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	Cohesin	0.192345	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	H3K27ac	0.182277	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	ATAC	0.0448505	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	RNA+	0.287368	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	RNA-	0.104241	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	CTCF	0.151893	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	Cohesin	0.2651	
attribution	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	H3K27ac	0.146547	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	ATAC	0.0552481	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	RNA+	0.322756	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	RNA-	0.0390575	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	CTCF	0.121797	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	Cohesin	0.257937	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	H3K27ac	0.203205	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	ATAC	0.0423872	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	RNA+	0.332572	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	RNA-	0.0402319	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	CTCF	0.104045	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	Cohesin	0.311296	
attribution	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	H3K27ac	0.169469	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	ATAC	0.216478	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	RNA+	0.0709302	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	RNA-	0.00428223	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	CTCF	0.204652	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	Cohesin	0.364409	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	H3K27ac	0.139248	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	ATAC	0.041987	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	RNA+	0.0558815	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	RNA-	0.00424454	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	CTCF	0.162504	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	Cohesin	0.265397	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	H3K27ac	0.469986	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	ATAC	0.20958	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	RNA+	0.0456688	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	RNA-	0.01442	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	CTCF	0.0970842	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	Cohesin	0.358864	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	H3K27ac	0.274383	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	ATAC	0.05346	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	RNA+	0.0482308	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	RNA-	0.016587	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	CTCF	0.0523843	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	Cohesin	0.321235	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep2	H3K27ac	0.508103	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	ATAC	0.0764417	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	RNA+	0.38392	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	RNA-	0.00262965	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	CTCF	0.0805918	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	Cohesin	0.2526	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep1	H3K27ac	0.203816	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	ATAC	0.0567773	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	RNA+	0.363828	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	RNA-	0.00117505	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	CTCF	0.0774907	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	Cohesin	0.279372	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_ProB_rep2	H3K27ac	0.221357	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	ATAC	0.0800018	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	RNA+	0.396096	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	RNA-	0.00283196	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	CTCF	0.0666296	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	Cohesin	0.241856	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep1	H3K27ac	0.212584	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	ATAC	0.0565682	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	RNA+	0.36561	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	RNA-	0.00213877	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	CTCF	0.085305	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	Cohesin	0.272019	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_ProB_rep2	H3K27ac	0.218359	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	ATAC	0.0364341	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	RNA+	0.00350249	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	RNA-	0.257145	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	CTCF	0.130804	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	Cohesin	0.219654	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep1	H3K27ac	0.35246	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	ATAC	0.071969	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	RNA+	0.00305439	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	RNA-	0.230096	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	CTCF	0.0979952	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	Cohesin	0.22212	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_ProB_rep2	H3K27ac	0.374765	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	ATAC	0.0404604	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	RNA+	0.00167091	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	RNA-	0.272661	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	CTCF	0.210573	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	Cohesin	0.1817	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep1	H3K27ac	0.292935	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	ATAC	0.0782523	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	RNA+	0.00136462	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	RNA-	0.23916	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	CTCF	0.18399	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	Cohesin	0.206504	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_ProB_rep2	H3K27ac	0.290729	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	ATAC	0.0121642	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	RNA+	0.450657	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	RNA-	0.000874377	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	CTCF	0.202937	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	Cohesin	0.201201	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep1	H3K27ac	0.132166	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	ATAC	0.00776241	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	RNA+	0.438381	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	RNA-	0.0009163	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	CTCF	0.217318	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	Cohesin	0.201392	
attribution	DH cluster (diversity segments)	DN_rep1_vs_ProB_rep2	H3K27ac	0.134231	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	ATAC	0.0130171	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	RNA+	0.480119	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	RNA-	0.000607859	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	CTCF	0.161475	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	Cohesin	0.218239	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep1	H3K27ac	0.126542	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep2	ATAC	0.00827895	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep2	RNA+	0.465322	
attribution	DH cluster (diversity segments)	DN_rep2_vs_ProB_rep2	RNA-	0.000634877	
