readout	region	pairing	metric	value	p
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	CTCF	0.278269	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	Cohesin	0.203676	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	H3K27ac	0.467013	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	ATAC	0.000998027	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	RNA+	0.00108344	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	RNA-	0.059254	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	CTCF	0.269722	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	Cohesin	0.22686	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep2	H3K27ac	0.442083	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	ATAC	0.00640697	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	RNA+	0.00524994	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	RNA-	0.0020085	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	CTCF	0.368932	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	Cohesin	0.350997	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep1	H3K27ac	0.266406	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	ATAC	0.00825184	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	RNA+	0.00519641	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	RNA-	0.00766933	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	CTCF	0.368108	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	Cohesin	0.351901	
attribution	DH cluster (diversity segments)	DN_rep1_vs_DP_rep2	H3K27ac	0.258874	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	ATAC	0.00691253	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	RNA+	0.00885287	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	RNA-	0.00140776	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	CTCF	0.307217	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	Cohesin	0.401673	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep1	H3K27ac	0.273937	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	ATAC	0.00954599	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	RNA+	0.00609973	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	RNA-	0.00814508	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	CTCF	0.283573	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	Cohesin	0.405739	
attribution	DH cluster (diversity segments)	DN_rep2_vs_DP_rep2	H3K27ac	0.286897	
