readout	region	pairing	metric	value	p
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	RNA-	0.0348459	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	CTCF	0.126594	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	Cohesin	0.213928	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	H3K27ac	0.138362	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	ATAC	0.012226	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	RNA+	0.431892	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	RNA-	0.0337833	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	CTCF	0.202499	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	Cohesin	0.180302	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	H3K27ac	0.139297	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	ATAC	0.0577035	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	RNA+	0.155214	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	RNA-	0.00731259	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	CTCF	0.255208	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	Cohesin	0.36938	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.155181	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	ATAC	0.0320869	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	RNA+	0.126666	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	RNA-	0.00596887	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	CTCF	0.404384	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	Cohesin	0.330248	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.100647	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	ATAC	0.0603918	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	RNA+	0.0769086	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	RNA-	0.018568	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	CTCF	0.135231	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	Cohesin	0.309791	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	H3K27ac	0.399109	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	ATAC	0.0325312	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	RNA+	0.0538845	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	RNA-	0.0130037	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	CTCF	0.298318	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	Cohesin	0.301134	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	H3K27ac	0.301128	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	ATAC	0.106574	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	RNA+	0.367605	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	RNA-	0.00508523	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	CTCF	0.084065	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	Cohesin	0.231495	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	H3K27ac	0.205176	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	ATAC	0.0564933	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	RNA+	0.397201	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	RNA-	0.00709562	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	CTCF	0.0982059	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	Cohesin	0.232347	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	H3K27ac	0.208658	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	ATAC	0.108286	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	RNA+	0.404888	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	RNA-	0.00539445	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	CTCF	0.062659	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	Cohesin	0.221029	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	H3K27ac	0.197744	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	ATAC	0.0570118	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	RNA+	0.421769	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	RNA-	0.00824244	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	CTCF	0.0813256	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	Cohesin	0.21907	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	H3K27ac	0.212582	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	ATAC	0.141067	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	RNA+	0.000540718	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	RNA-	0.113274	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	CTCF	0.146506	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	Cohesin	0.218441	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.380172	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	ATAC	0.0845164	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	RNA+	0.000677379	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	RNA-	0.106362	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	CTCF	0.244456	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	Cohesin	0.186418	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.37757	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	ATAC	0.156103	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	RNA+	0.000168339	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	RNA-	0.134315	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	CTCF	0.228807	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	Cohesin	0.182563	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	H3K27ac	0.298044	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	ATAC	0.0974969	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	RNA+	0.000351038	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	RNA-	0.13159	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	CTCF	0.290811	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	Cohesin	0.147629	
